,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
457,mopti,14.6667,-4.0,69.24,18,2,4.41,ML,1612392585
458,amahai,-3.3333,128.9167,80.29,77,62,5.59,ID,1612392585
459,belgaum,15.8667,74.5,63.9,43,0,7.31,IN,1612392585
460,tiarei,-17.5333,-149.3333,80.6,74,40,6.91,PF,1612392585
461,jacareacanga,-6.2222,-57.7528,76.91,95,98,1.86,BR,1612392585
462,fukuma,33.7667,130.4667,42.01,70,75,16.11,JP,1612392585
463,itoman,26.1247,127.6694,60.8,72,20,8.05,JP,1612392585
464,korla,41.7597,86.1469,24.42,85,0,2.19,CN,1612392774
465,boueni,-12.9025,45.0761,80.6,83,24,8.05,YT,1612392586
466,pudozh,61.8099,36.5345,16.77,97,100,4.59,RU,1612392586
467,atasu,48.6814,71.6433,16.14,89,100,9.1,KZ,1612392586
468,hervey bay,-25.2986,152.8535,77.0,73,12,10.36,AU,1612392774
469,tessalit,20.1986,1.0114,69.48,20,0,14.34,ML,1612392445
470,la romana,18.4273,-68.9728,82.4,74,20,11.5,DO,1612392587
471,mildura,-34.2,142.15,69.8,46,100,6.91,AU,1612392587
472,kautokeino,69.0125,23.0412,17.08,92,97,17.38,NO,1612392775
473,wuchang,44.9143,127.15,-22.27,85,17,8.5,CN,1612392587
474,port-gentil,-0.7193,8.7815,82.4,83,40,8.05,GA,1612392587
475,morondava,-20.2833,44.2833,83.03,82,77,3.83,MG,1612392587
476,yarim,14.298,44.3779,44.56,52,0,4.79,YE,1612392588
477,payakumbuh,-0.2202,100.6308,70.36,91,99,1.81,ID,1612392588
478,zhangye,38.9342,100.4517,20.64,68,20,0.85,CN,1612392588
479,nizhniy odes,63.6445,54.856,-0.42,94,97,3.96,RU,1612392776
480,mafeteng,-29.823,27.2374,55.8,97,89,2.21,LS,1612392588
481,pericos,25.05,-107.7,87.8,33,75,3.44,MX,1612392589
482,srednekolymsk,67.45,153.6833,-24.88,86,47,2.46,RU,1612392589
483,samana,19.2056,-69.3369,77.0,88,75,7.7,DO,1612392589
484,havoysund,70.9963,24.6622,28.4,68,40,23.02,NO,1612392589
485,luderitz,-26.6481,15.1594,66.09,73,0,13.53,NA,1612392777
486,riyadh,24.6877,46.7219,68.0,28,0,4.61,SA,1612392386
487,hay river,60.8156,-115.7999,-14.8,70,100,8.05,CA,1612392313
488,humaita,-7.5061,-63.0208,78.37,92,93,3.58,BR,1612392590
489,otjimbingwe,-22.35,16.1333,74.28,50,98,2.95,NA,1612392590
490,saint-joseph,-21.3667,55.6167,77.0,73,0,2.3,RE,1612392591
491,am timan,11.0297,20.2827,76.48,18,0,8.81,TD,1612392591
492,oktyabrskoye,43.0645,44.7417,30.2,86,87,4.47,RU,1612392591
493,garissa,-0.4536,39.6401,76.24,73,48,9.82,KE,1612392591
494,lakatoro,-16.0999,167.4164,83.64,69,100,7.99,VU,1612392591
495,idenao,4.2475,9.0047,80.6,89,20,6.91,CM,1612392592
496,sabang,5.8933,95.3214,81.68,77,95,21.45,ID,1612392624
497,biak,-0.9131,122.8766,76.42,83,100,2.19,ID,1612392778
498,villa maria,-32.4075,-63.2402,73.0,80,0,1.99,AR,1612392593
499,outjo,-20.1167,16.15,70.5,54,24,9.89,NA,1612392593
500,shalya,57.2471,58.7298,5.63,93,90,3.0,RU,1612392594
501,prince rupert,54.3161,-130.3201,39.2,93,90,9.22,CA,1612392594
502,colorado springs,38.8339,-104.8214,62.6,21,75,9.22,US,1612392779
503,samandag,36.0842,35.9771,51.8,82,40,5.75,TR,1612392595
504,huaral,-11.495,-77.2078,71.6,73,20,9.22,PE,1612392595
505,nyrob,60.733,56.7202,0.32,93,98,4.38,RU,1612392595
